episodio,puntajeTotal,puntajeMean,bestFicha,movimientos,cantMovimientos,epsilon,cumReward
0,220.0,13.75,64.0,138,"{'izquierda': 44, 'derecha': 1, 'arriba': 90, 'abajo': 3}",0.05,-217.625
1,128.0,8.0,32.0,42,"{'izquierda': 24, 'derecha': 1, 'arriba': 13, 'abajo': 4}",0.05,-17.0625
2,266.0,16.625,128.0,95,"{'izquierda': 52, 'derecha': 1, 'arriba': 41, 'abajo': 1}",0.05,-73.875
3,334.0,20.875,128.0,320,"{'izquierda': 113, 'derecha': 6, 'arriba': 197, 'abajo': 4}",0.05,-683.1875
4,234.0,14.625,64.0,125,"{'izquierda': 40, 'derecha': 4, 'arriba': 78, 'abajo': 3}",0.05,-172.5625
5,296.0,18.5,128.0,98,"{'izquierda': 62, 'derecha': 2, 'arriba': 32, 'abajo': 2}",0.05,-61.6875
6,328.0,20.5,128.0,199,"{'izquierda': 65, 'derecha': 3, 'arriba': 129, 'abajo': 2}",0.05,-361.9375
0,134.0,8.375,32.0,82,"{'izquierda': 67, 'derecha': 2, 'arriba': 1, 'abajo': 12}",0.05,-85.0
1,300.0,18.75,128.0,289,"{'izquierda': 205, 'derecha': 55, 'arriba': 9, 'abajo': 20}",0.05,-578.9375
2,306.0,19.125,64.0,243,"{'izquierda': 170, 'derecha': 45, 'arriba': 7, 'abajo': 21}",0.05,-462.1875
3,294.0,18.375,128.0,85,"{'izquierda': 54, 'derecha': 3, 'arriba': 3, 'abajo': 25}",0.05,-15.25
4,242.0,15.125,128.0,208,"{'izquierda': 53, 'derecha': 110, 'arriba': 8, 'abajo': 37}",0.05,-413.25
0,190.0,11.875,64.0,74,"{'izquierda': 35, 'derecha': 33, 'arriba': 2, 'abajo': 4}",0.05,-63.1875
1,270.0,16.875,128.0,108,"{'izquierda': 54, 'derecha': 9, 'arriba': 43, 'abajo': 2}",0.05,-103.5625
2,314.0,19.625,128.0,453,"{'izquierda': 338, 'derecha': 92, 'arriba': 17, 'abajo': 6}",0.05,-1058.9375
3,226.0,14.125,64.0,65,"{'izquierda': 42, 'derecha': 15, 'arriba': 8, 'abajo': 0}",0.05,2.0
4,154.0,9.625,32.0,65,"{'izquierda': 44, 'derecha': 5, 'arriba': 13, 'abajo': 3}",0.05,-60.6875
5,254.0,15.875,64.0,178,"{'izquierda': 160, 'derecha': 7, 'arriba': 7, 'abajo': 4}",0.05,-295.25
6,228.0,14.25,64.0,68,"{'izquierda': 43, 'derecha': 17, 'arriba': 6, 'abajo': 2}",0.05,-27.6875
7,230.0,14.375,64.0,73,"{'izquierda': 68, 'derecha': 2, 'arriba': 0, 'abajo': 3}",0.05,-8.0625
0,266.0,16.625,64.0,141,"{'izquierda': 45, 'derecha': 4, 'arriba': 90, 'abajo': 2}",0.05,-208.75
1,182.0,11.375,32.0,143,"{'izquierda': 33, 'derecha': 2, 'arriba': 102, 'abajo': 6}",0.05,-236.0625
2,166.0,10.375,32.0,80,"{'izquierda': 35, 'derecha': 5, 'arriba': 40, 'abajo': 0}",0.05,-74.9375
3,246.0,15.375,64.0,89,"{'izquierda': 42, 'derecha': 5, 'arriba': 40, 'abajo': 2}",0.05,-70.5
4,256.0,16.0,128.0,68,"{'izquierda': 51, 'derecha': 3, 'arriba': 12, 'abajo': 2}",0.05,-4.9375
5,234.0,14.625,64.0,89,"{'izquierda': 48, 'derecha': 22, 'arriba': 18, 'abajo': 1}",0.05,-56.4375
6,220.0,13.75,128.0,112,"{'izquierda': 45, 'derecha': 4, 'arriba': 62, 'abajo': 1}",0.05,-147.6875
7,168.0,10.5,64.0,78,"{'izquierda': 36, 'derecha': 3, 'arriba': 37, 'abajo': 2}",0.05,-75.3125
8,228.0,14.25,64.0,139,"{'izquierda': 41, 'derecha': 3, 'arriba': 91, 'abajo': 4}",0.05,-197.5625
0,334.0,20.875,128.0,459,"{'izquierda': 394, 'derecha': 6, 'arriba': 56, 'abajo': 3}",0.05,-1173.75
1,584.0,36.5,256.0,440,"{'izquierda': 407, 'derecha': 8, 'arriba': 12, 'abajo': 13}",0.05,-949.3125
2,218.0,13.625,64.0,77,"{'izquierda': 40, 'derecha': 3, 'arriba': 27, 'abajo': 7}",0.05,-54.5
0,292.0,18.25,128.0,276,"{'izquierda': 265, 'derecha': 3, 'arriba': 5, 'abajo': 3}",0.05,-572.5625
1,308.0,19.25,128.0,306,"{'izquierda': 285, 'derecha': 7, 'arriba': 6, 'abajo': 8}",0.05,-611.25
2,164.0,10.25,64.0,44,"{'izquierda': 38, 'derecha': 1, 'arriba': 2, 'abajo': 3}",0.05,11.125
0,220.0,13.75,64.0,88,"{'izquierda': 46, 'derecha': 34, 'arriba': 2, 'abajo': 6}",0.05,-87.3125
1,140.0,8.75,32.0,39,"{'izquierda': 31, 'derecha': 2, 'arriba': 0, 'abajo': 6}",0.05,-1.0625
2,162.0,10.125,32.0,131,"{'izquierda': 26, 'derecha': 39, 'arriba': 4, 'abajo': 62}",0.05,-225.3125
3,208.0,13.0,64.0,84,"{'izquierda': 42, 'derecha': 3, 'arriba': 3, 'abajo': 36}",0.05,-64.875
4,612.0,38.25,256.0,438,"{'izquierda': 101, 'derecha': 14, 'arriba': 6, 'abajo': 317}",0.05,-954.3125
5,142.0,8.875,32.0,51,"{'izquierda': 30, 'derecha': 19, 'arriba': 1, 'abajo': 1}",0.05,-36.5625
6,210.0,13.125,64.0,189,"{'izquierda': 42, 'derecha': 110, 'arriba': 4, 'abajo': 33}",0.05,-369.6875
0,198.0,12.375,64.0,52,"{'izquierda': 36, 'derecha': 3, 'arriba': 1, 'abajo': 12}",0.05,2.375
1,356.0,22.25,128.0,356,"{'izquierda': 71, 'derecha': 3, 'arriba': 5, 'abajo': 277}",0.05,-822.375
2,212.0,13.25,64.0,77,"{'izquierda': 40, 'derecha': 2, 'arriba': 1, 'abajo': 34}",0.05,-32.1875
3,418.0,26.125,256.0,261,"{'izquierda': 70, 'derecha': 8, 'arriba': 10, 'abajo': 173}",0.05,-434.625
4,180.0,11.25,32.0,267,"{'izquierda': 33, 'derecha': 6, 'arriba': 3, 'abajo': 225}",0.05,-607.5625
0,232.0,14.5,64.0,115,"{'izquierda': 61, 'derecha': 22, 'arriba': 30, 'abajo': 2}",0.05,-164.375
1,284.0,17.75,128.0,360,"{'izquierda': 139, 'derecha': 105, 'arriba': 109, 'abajo': 7}",0.05,-760.75
2,166.0,10.375,32.0,63,"{'izquierda': 55, 'derecha': 4, 'arriba': 3, 'abajo': 1}",0.05,-36.25
3,124.0,7.75,32.0,66,"{'izquierda': 22, 'derecha': 39, 'arriba': 3, 'abajo': 2}",0.05,-67.5
4,280.0,17.5,128.0,132,"{'izquierda': 48, 'derecha': 58, 'arriba': 20, 'abajo': 6}",0.05,-173.6875
5,282.0,17.625,64.0,180,"{'izquierda': 59, 'derecha': 3, 'arriba': 114, 'abajo': 4}",0.05,-318.375
0,260.0,16.25,128.0,523,"{'izquierda': 39, 'derecha': 5, 'arriba': 8, 'abajo': 471}",0.05,-1189.875
1,174.0,10.875,64.0,69,"{'izquierda': 37, 'derecha': 1, 'arriba': 1, 'abajo': 30}",0.05,-49.5625
2,308.0,19.25,128.0,315,"{'izquierda': 65, 'derecha': 2, 'arriba': 10, 'abajo': 238}",0.05,-694.5625
0,200.0,12.5,64.0,159,"{'izquierda': 45, 'derecha': 105, 'arriba': 6, 'abajo': 3}",0.05,-274.8125
1,170.0,10.625,32.0,92,"{'izquierda': 82, 'derecha': 5, 'arriba': 3, 'abajo': 2}",0.05,-109.875
2,150.0,9.375,32.0,46,"{'izquierda': 37, 'derecha': 6, 'arriba': 1, 'abajo': 2}",0.05,4.0625
3,180.0,11.25,32.0,112,"{'izquierda': 101, 'derecha': 3, 'arriba': 7, 'abajo': 1}",0.05,-134.5625
4,174.0,10.875,64.0,76,"{'izquierda': 66, 'derecha': 5, 'arriba': 3, 'abajo': 2}",0.05,-77.4375
5,166.0,10.375,32.0,61,"{'izquierda': 51, 'derecha': 5, 'arriba': 4, 'abajo': 1}",0.05,-35.5625
6,334.0,20.875,128.0,352,"{'izquierda': 274, 'derecha': 63, 'arriba': 7, 'abajo': 8}",0.05,-771.1875
0,284.0,17.75,128.0,469,"{'izquierda': 264, 'derecha': 193, 'arriba': 8, 'abajo': 4}",0.05,-1087.3125
1,322.0,20.125,128.0,284,"{'izquierda': 63, 'derecha': 208, 'arriba': 3, 'abajo': 10}",0.05,-563.0
2,346.0,21.625,128.0,287,"{'izquierda': 99, 'derecha': 160, 'arriba': 15, 'abajo': 13}",0.05,-577.0625
3,448.0,28.0,256.0,415,"{'izquierda': 392, 'derecha': 5, 'arriba': 9, 'abajo': 9}",0.05,-880.4375
4,338.0,21.125,128.0,277,"{'izquierda': 246, 'derecha': 12, 'arriba': 10, 'abajo': 9}",0.05,-530.9375
5,370.0,23.125,128.0,471,"{'izquierda': 442, 'derecha': 11, 'arriba': 10, 'abajo': 8}",0.05,-1150.4375
6,366.0,22.875,128.0,246,"{'izquierda': 227, 'derecha': 4, 'arriba': 5, 'abajo': 10}",0.05,-457.25
7,406.0,25.375,128.0,498,"{'izquierda': 460, 'derecha': 12, 'arriba': 11, 'abajo': 15}",0.05,-1134.3125
8,534.0,33.375,256.0,449,"{'izquierda': 412, 'derecha': 17, 'arriba': 12, 'abajo': 8}",0.05,-950.875
9,256.0,16.0,64.0,140,"{'izquierda': 132, 'derecha': 2, 'arriba': 2, 'abajo': 4}",0.05,-154.5625
10,268.0,16.75,128.0,182,"{'izquierda': 163, 'derecha': 9, 'arriba': 4, 'abajo': 6}",0.05,-287.25
11,180.0,11.25,64.0,142,"{'izquierda': 133, 'derecha': 4, 'arriba': 2, 'abajo': 3}",0.05,-220.4375
12,284.0,17.75,128.0,215,"{'izquierda': 203, 'derecha': 3, 'arriba': 5, 'abajo': 4}",0.05,-399.0
13,200.0,12.5,64.0,65,"{'izquierda': 60, 'derecha': 0, 'arriba': 2, 'abajo': 3}",0.05,-17.875
14,232.0,14.5,128.0,173,"{'izquierda': 163, 'derecha': 4, 'arriba': 3, 'abajo': 3}",0.05,-289.9375
15,352.0,22.0,128.0,169,"{'izquierda': 156, 'derecha': 4, 'arriba': 7, 'abajo': 2}",0.05,-219.5625
16,196.0,12.25,64.0,178,"{'izquierda': 170, 'derecha': 2, 'arriba': 4, 'abajo': 2}",0.05,-342.5625
17,210.0,13.125,32.0,74,"{'izquierda': 68, 'derecha': 3, 'arriba': 2, 'abajo': 1}",0.05,-32.5
18,306.0,19.125,64.0,168,"{'izquierda': 149, 'derecha': 8, 'arriba': 5, 'abajo': 6}",0.05,-257.4375
19,152.0,9.5,32.0,39,"{'izquierda': 34, 'derecha': 1, 'arriba': 3, 'abajo': 1}",0.05,14.5625
20,164.0,10.25,32.0,219,"{'izquierda': 206, 'derecha': 7, 'arriba': 3, 'abajo': 3}",0.05,-397.125
21,266.0,16.625,64.0,215,"{'izquierda': 197, 'derecha': 3, 'arriba': 9, 'abajo': 6}",0.05,-377.125
22,252.0,15.75,64.0,106,"{'izquierda': 92, 'derecha': 2, 'arriba': 3, 'abajo': 9}",0.05,-90.5625
23,314.0,19.625,64.0,285,"{'izquierda': 261, 'derecha': 9, 'arriba': 6, 'abajo': 9}",0.05,-609.125
